#DateTime          Unixtime(UTC)   Abnormal_Large Probability[0-1]   Abnormal_Small Probability[0-1]   Abnormal State(Abnormal_Large=2, Abnormal_Small=1, Normal=0)
20220730_000000        1659139200           0.342                          0.346                            1
20220730_060000        1659160800           0.342                          0.346                            1
20220730_120000        1659182400           0.342                          0.346                            1
20220730_180000        1659204000           0.342                          0.346                            1
20220731_000000        1659225600           0.342                          0.346                            1
20220731_060000        1659247200           0.342                          0.346                            1
20220731_120000        1659268800           0.342                          0.346                            1
20220731_180000        1659290400           0.342                          0.346                            1
20220801_000000        1659312000           0.342                          0.346                            1
20220801_060000        1659333600           0.342                          0.346                            1
20220801_120000        1659355200           0.342                          0.346                            1
20220801_180000        1659376800           0.342                          0.346                            1
20220802_000000        1659398400           0.342                          0.346                            1
20220802_060000        1659420000           0.342                          0.346                            1
20220802_120000        1659441600           0.342                          0.346                            1
20220802_180000        1659463200           0.342                          0.346                            1
20220803_000000        1659484800           0.342                          0.346                            1
20220803_060000        1659506400           0.342                          0.346                            1
20220803_120000        1659528000           0.342                          0.346                            1
20220803_180000        1659549600           0.342                          0.346                            1
20220804_000000        1659571200           0.342                          0.346                            1
20220804_060000        1659592800           0.342                          0.346                            1
20220804_120000        1659614400           0.342                          0.346                            1
20220804_180000        1659636000           0.342                          0.346                            1
20220805_000000        1659657600           0.342                          0.346                            1
20220805_060000        1659679200           0.342                          0.346                            1
20220805_120000        1659700800           0.342                          0.346                            1
20220805_180000        1659722400           0.342                          0.346                            1
20220806_000000        1659744000           0.342                          0.346                            1
20220806_060000        1659765600           0.342                          0.346                            1
20220806_120000        1659787200           0.342                          0.346                            1
20220806_180000        1659808800           0.342                          0.346                            1
20220807_000000        1659830400           0.342                          0.346                            1
20220807_060000        1659852000           0.342                          0.346                            1
20220807_120000        1659873600           0.342                          0.346                            1
20220807_180000        1659895200           0.342                          0.346                            1
20220808_000000        1659916800           0.342                          0.346                            1
20220808_060000        1659938400           0.342                          0.346                            1
20220808_120000        1659960000           0.342                          0.346                            1
20220808_180000        1659981600           0.342                          0.346                            1
20220809_000000        1660003200           0.342                          0.346                            1
20220809_060000        1660024800           0.342                          0.346                            1
20220809_120000        1660046400           0.342                          0.346                            1
20220809_180000        1660068000           0.342                          0.346                            1
20220810_000000        1660089600           0.342                          0.346                            1
